Ref,Component,Value,Footprint,Qty,Farnell,RS,Description
C1,Electrolytic capacitor,1000µF 450V,Snap-in 35x50mm,1,184-8404,136-6285,Nichicon LLS2W102MELC / Kemet ALC10A102EL450
C5,Electrolytic capacitor,10µF 400V,Radial,1,123-6654,711-1245,Optional smoothing capacitor
Q1,MOSFET,IRF840,TO-220,1,146-3412,700-4322,N-channel 500V 8A
D1,Diode,UF4007,DO-41,1,146-7590,700-4287,1000V 1A fast recovery
D2,Zener diode,15V 0.5W,DO-35,1,170-0750,544-3245,BZX55C15
D3,LED,Green 5mm,5mm,1,102-4030,228-5608,High brightness
D4,Diode,1N4148,DO-35,1,146-7600,700-4290,Signal diode for gate protection
R1,Resistor,1kΩ 0.25W,AXIAL-0.3,1,933-1520,707-7694,Carbon film (gate)
R2,Resistor,1kΩ 0.25W,AXIAL-0.3,1,933-1520,707-7694,Carbon film (optional, not used in final)
R11,Resistor,1kΩ 50W,Wirewound,1,247-8500,160-2160,Wirewound power resistor (discharge)
R12,Resistor,220kΩ 1W,AXIAL-0.5,1,933-1560,707-7740,Metal film 1W (LED current limit)
S1,Switch,Pushbutton SPST,Panel mount,1,108-2240,734-7221,Momentary pushbutton (charge)
S2,Switch,Pushbutton SPST,Panel mount,1,108-2240,734-7221,Momentary pushbutton (discharge)
S3,Switch,Toggle SPST,Panel mount,1,108-2260,734-7243,Toggle switch (main power)
F1,Fuse,2A 250V,5x20mm,1,123-4567,700-1234,Glass fuse with holder
T1,Transformer,Ferrite core + wire,Custom,1,,,E20/10/6 core, 0.5/0.2/0.1mm wire
G1,Spark gap,Tungsten electrodes,Custom,1,,,1.6mm TIG electrodes
L1,Coil,10 AWG enameled wire,Custom,1,,,2.588mm diameter, 2m length
Battery,9V battery clip,Snap connector,6,165-0672,455-8300,9V battery clip (consider LiPo)
